[n]	[masculine]	[neuter]	[feminine]	[plural]
0	нулево́й	нулево́е	нулева́я	нулевы́е
1	пе́рвый	пе́рвое	пе́рвая	пе́рвые
2	второ́й	второ́е	втора́я	вторы́е
3	тре́тий	тре́тье	тре́тья	тре́тьи
4	четвёртый	четвёртое	четвёртая	четвёртые
5	пя́тый	пя́тое	пя́тая	пя́тые
6	шесто́й	шесто́е	шеста́я	шесты́е
7	седьмо́й	седьмо́е	седьма́я	седьмы́е
8	восьмо́й	восьмо́е	восьма́я	восьмы́е
9	девя́тый	девя́тое	девя́тая	девя́тые
10	деся́тый	деся́тое	деся́тая	деся́тые
11	оди́ннадцатый	оди́ннадцатое	оди́ннадцатая	оди́ннадцатые
12	двена́дцатый	двена́дцатое	двена́дцатая	двена́дцатые
